p6020;dpto;a�o;pt_dpto;pet_dpto;pea_dpto;pei_dpto;empleados_dpto;desempleados_dpto;pt_gen_dpto;pet_gen_dpto;pea_gen_dpto;pei_gen_dpto;empleados_gen_dpto;desempleados_gen_dpto;nom_dep
mujer;25;2017;26284690;20939660;14873460;6407139;13681929;1191531.3;13218067;10569495;6581261;4111190.8;5922804.5;658456.63;CUNDINAMARCA
mujer;25;2013;25915444;20282294;14353132;6327732;13183296;1169836;12773743;10071312;6258253;3994380.3;5593479;664774;CUNDINAMARCA
hombre;25;2012;26017608;20304778;14490999;5835469;13115434;1375565.3;13264940;10370169;8294672.5;2136353.3;7702003.5;592669.06;CUNDINAMARCA
mujer;25;2018;26389758;21106424;15227904;6248783.5;13750236;1477668.1;12942723;10396080;6780653;3771458.5;5897575.5;883077.31;CUNDINAMARCA
hombre;25;2017;26284690;20939660;14873460;6407139;13681929;1191531.3;13066623;10370165;8292199.5;2295948;7759125;533074.56;CUNDINAMARCA
hombre;25;2018;26389758;21106424;15227904;6248783.5;13750236;1477668.1;13447036;10710345;8447251;2477325.3;7852660.5;594590.75;CUNDINAMARCA
mujer;25;2015;26267752;20553822;14929813;6003431;13778535;1151278.6;13137797;10298227;6727524.5;3731356;5993009.5;734515.31;CUNDINAMARCA
hombre;25;2014;26293908;20559306;15063029;5917888;13789771;1273258.4;13382165;10424766;8380617;2293637.5;7827683.5;552933.75;CUNDINAMARCA
mujer;25;2016;26311948;20889356;14738651;6483631;13563649;1175001.9;12905511;10361042;6338235;4177688.3;5719684;618551;CUNDINAMARCA
mujer;25;2011;25456048;19645002;14033339;6021583.5;12721452;1311887.5;12533009;9758566;5992499.5;3954571.8;5191274.5;801224.88;CUNDINAMARCA
mujer;25;2014;26293908;20559306;15063029;5917888;13789771;1273258.4;12911744;10134540;6682412.5;3624250.8;5962087.5;720324.56;CUNDINAMARCA
hombre;25;2013;25915444;20282294;14353132;6327732;13183296;1169836;13141702;10210982;8094879.5;2333351.5;7589817.5;505061.97;CUNDINAMARCA
hombre;25;2016;26311948;20889356;14738651;6483631;13563649;1175001.9;13406437;10528314;8400416;2305942.8;7843965;556450.88;CUNDINAMARCA
hombre;25;2019;26818888;21422046;14857915;6980762.5;13183551;1674363.9;13509482;10789247;8419054;2579217;7718647;700406.44;CUNDINAMARCA
mujer;25;2012;26017608;20304778;14490999;5835469;13115434;1375565.3;12752668;9934609;6196326.5;3699115.8;5413430;782896.19;CUNDINAMARCA
hombre;25;2011;25456048;19645002;14033339;6021583.5;12721452;1311887.5;12923039;9886436;8040840;2067011.9;7530177.5;510662.63;CUNDINAMARCA
hombre;25;2015;26267752;20553822;14929813;6003431;13778535;1151278.6;13129956;10255595;8202288.5;2272075.3;7785525.5;416763.31;CUNDINAMARCA
mujer;25;2019;26818888;21422046;14857915;6980762.5;13183551;1674363.9;13309406;10632798;6438861;4401545.5;5464903.5;973957.44;CUNDINAMARCA
mujer;27;2014;8613023;5766643.5;2758361.3;3300754;2438747.8;319613.38;4195897.5;2844148.3;926803.63;2047229.9;773818.75;152984.84;CHOCO
hombre;27;2019;9413754;6335875.5;2951588.8;3676166.3;2625520;326068.81;4702969.5;3124405;1928979.1;1343361.3;1782728.9;146250.27;CHOCO
mujer;27;2011;8350127;5631640.5;3357274.8;2518564;3010887.5;346387.16;4092764;2813652.8;1277451.6;1637192.5;1056356.8;221094.88;CHOCO
mujer;27;2013;8591069;5707316.5;3144689.3;2825792.5;2806115.5;338573.69;4236841;2776149;1145995;1771990.8;959566.19;186428.83;CHOCO
hombre;27;2014;8613023;5766643.5;2758361.3;3300754;2438747.8;319613.38;4417125;2922495.5;1831557.5;1253524.1;1664929;166628.53;CHOCO
mujer;27;2015;8404278;5546139.5;2850394;2963337.3;2550314.3;300079.75;4170401;2779327.3;1020182.3;1868823.3;876180;144002.31;CHOCO
mujer;27;2018;9305441;6307735.5;3331362.3;3251804.3;3076159.5;255202.72;4681074;3189193;1218165.6;2114922.8;1062988.9;155176.78;CHOCO
hombre;27;2015;8404278;5546139.5;2850394;2963337.3;2550314.3;300079.75;4233877;2766812;1830211.6;1094514;1674134.1;156077.44;CHOCO
mujer;27;2019;9413754;6335875.5;2951588.8;3676166.3;2625520;326068.81;4710784;3211470.5;1022609.7;2332805;842791.13;179818.56;CHOCO
mujer;27;2017;9309753;6247925.5;3340090;3222439;3073453.3;266636.88;4537079.5;3087901.5;1185722.4;2052400.8;1026637.8;159084.56;CHOCO
hombre;27;2012;8510081;5707323.5;3083987;2776122.8;2799941.8;284045.28;4381493;2922994.8;1996138.9;1021615.6;1889560.4;106578.49;CHOCO
hombre;27;2013;8591069;5707316.5;3144689.3;2825792.5;2806115.5;338573.69;4354228;2931167.8;1998694.3;1053801.9;1846549.4;152144.86;CHOCO
mujer;27;2012;8510081;5707323.5;3083987;2776122.8;2799941.8;284045.28;4128588.3;2784328.8;1087848.3;1754507;910381.44;177466.8;CHOCO
mujer;27;2016;8987702;5983075.5;3209067.8;3060285.8;2916577.5;292490.25;4416841.5;2927278.8;1180253.1;1865932.6;999891.69;180361.45;CHOCO
hombre;27;2017;9309753;6247925.5;3340090;3222439;3073453.3;266636.88;4772674;3160024.3;2154367.8;1170038.3;2046815.4;107552.3;CHOCO
hombre;27;2016;8987702;5983075.5;3209067.8;3060285.8;2916577.5;292490.25;4570860.5;3055797;2028814.5;1194353;1916685.8;112128.8;CHOCO
hombre;27;2011;8350127;5631640.5;3357274.8;2518564;3010887.5;346387.16;4257363.5;2817987.8;2079823.1;881371.44;1954530.9;125292.29;CHOCO
hombre;27;2018;9305441;6307735.5;3331362.3;3251804.3;3076159.5;255202.72;4624366.5;3118542.8;2113196.8;1136881.4;2013170.8;100025.94;CHOCO
mujer;41;2013;12482930;9464732;6215490.5;3440848;5647911;567579.5;6293767.5;4774232;2558225.5;2311933.3;2248103;310122.5;HUILA
hombre;41;2019;13421202;10334381;6621754;3859373.3;6043052.5;578701.5;6632968;5077246;3940945.5;1214867.9;3663213;277732.31;HUILA
hombre;41;2011;12314842;9383892;5991329;3595031;5503481;487848.09;6176550;4710292;3700706.8;1123704.1;3489085.5;211621.3;HUILA
mujer;41;2014;12861040;9759157;6120517.5;3821854.3;5600458;520059.56;6440528;4933572.5;2410506.3;2605252.3;2121037.8;289468.5;HUILA
hombre;41;2018;13541292;10360364;6526162;3999945.5;5885374.5;640787.25;6702158;5124996.5;3866896;1346157.1;3591660.8;275235.34;HUILA
mujer;41;2016;13259191;10088671;6617034.5;3681475;6061830;555204.13;6742452;5133986;2753321.8;2475732;2423121.8;330199.94;HUILA
mujer;41;2015;12934449;9841521;6515996;3520855;5993674.5;522321.16;6464585.5;4953365;2680410;2368949;2392146.3;288263.72;HUILA
mujer;41;2019;13421202;10334381;6621754;3859373.3;6043052.5;578701.5;6788233.5;5257135;2680808.8;2644505.5;2379839.5;300969.22;HUILA
mujer;41;2012;12385037;9316149;6261220;3089572;5609535;651685.13;6320044;4768177.5;2610087.3;2115327.5;2205555.3;404532.03;HUILA
mujer;41;2018;13541292;10360364;6526162;3999945.5;5885374.5;640787.25;6839133.5;5235367.5;2659265.8;2653788.3;2293713.8;365551.94;HUILA
hombre;41;2014;12861040;9759157;6120517.5;3821854.3;5600458;520059.56;6420512;4825584;3710011.5;1216602;3479420.5;230591.08;HUILA
mujer;41;2017;13312169;10295099;6647841;3819528.5;6053103.5;594737.56;6649910.5;5144988.5;2674943.8;2553550.8;2335643.5;339300.22;HUILA
hombre;41;2016;13259191;10088671;6617034.5;3681475;6061830;555204.13;6516738.5;4954685;3863712.5;1205743;3638708.3;225004.19;HUILA
hombre;41;2013;12482930;9464732;6215490.5;3440848;5647911;567579.5;6189162.5;4690500.5;3657265;1128914.9;3399808;257457.02;HUILA
hombre;41;2012;12385037;9316149;6261220;3089572;5609535;651685.13;6064993;4547971.5;3651132.8;974244.69;3403979.8;247153.08;HUILA
hombre;41;2017;13312169;10295099;6647841;3819528.5;6053103.5;594737.56;6662258;5150111;3972897.3;1265977.6;3717459.8;255437.34;HUILA
mujer;41;2011;12314842;9383892;5991329;3595031;5503481;487848.09;6138292;4673600;2290622.3;2471326.8;2014395.5;276226.78;HUILA
hombre;41;2015;12934449;9841521;6515996;3520855;5993674.5;522321.16;6469863.5;4888156.5;3835585.8;1151906;3601528.5;234057.45;HUILA
mujer;44;2014;10805851;7432530;5145788.5;2491794.3;4827157.5;318631.22;5540462;3847611;2323299;1642681.6;2110637.3;212661.77;LA GUAJIRA
hombre;44;2017;11422853;7865302;5516093.5;2584657.8;5113395;402698.78;5733895.5;3857262.5;3013493.3;960145;2863856;149637.11;LA GUAJIRA
mujer;44;2017;11422853;7865302;5516093.5;2584657.8;5113395;402698.78;5688957.5;4008039.5;2502600.5;1624512.9;2249538.8;253061.67;LA GUAJIRA
mujer;44;2018;11868164;8141903.5;5631283;2699388;5334360;296923.03;5929973;4168300.8;2513640;1734431.4;2320366.5;193273.5;LA GUAJIRA
hombre;44;2016;11303209;7770859;5425801.5;2558618.8;4919543;506258.38;5587475;3793873;2970927.3;945362.19;2798997.8;171929.34;LA GUAJIRA
hombre;44;2011;9964123;6752952;4355377.5;2632570.5;3989504;365873.84;4855278;3228519.5;2482819.8;884662.69;2343886.5;138933.23;LA GUAJIRA
mujer;44;2019;12236806;8439117;5710682;2954868.3;5271800.5;438881.66;6125628;4283856;2549205;1838665.9;2265836.5;283368.53;LA GUAJIRA
hombre;44;2012;10265255;7111246.5;5135955.5;2071735.9;4640276.5;495678.84;5125495;3511019.8;2821392;743332.25;2625396.3;195995.86;LA GUAJIRA
hombre;44;2013;10516032;7187754;5025516;2379885;4640344.5;385171.22;5174878.5;3508739.5;2850919.8;751455.31;2689428;161491.75;LA GUAJIRA
mujer;44;2016;11303209;7770859;5425801.5;2558618.8;4919543;506258.38;5715733.5;3976986;2454874.3;1613256.5;2120545;334329.03;LA GUAJIRA
hombre;44;2019;12236806;8439117;5710682;2954868.3;5271800.5;438881.66;6111177.5;4155261.3;3161477;1116202.4;3005963.8;155513.11;LA GUAJIRA
hombre;44;2018;11868164;8141903.5;5631283;2699388;5334360;296923.03;5938191;3973602.8;3117643;964956.69;3013993.5;103649.54;LA GUAJIRA
hombre;44;2014;10805851;7432530;5145788.5;2491794.3;4827157.5;318631.22;5265389.5;3584918.8;2822489.8;849112.69;2716520.3;105969.46;LA GUAJIRA
mujer;44;2011;9964123;6752952;4355377.5;2632570.5;3989504;365873.84;5108845;3524432.5;1872557.9;1747907.8;1645617.3;226940.59;LA GUAJIRA
mujer;44;2012;10265255;7111246.5;5135955.5;2071735.9;4640276.5;495678.84;5139760;3600226.8;2314563.3;1328403.6;2014880.3;299682.97;LA GUAJIRA
mujer;44;2013;10516032;7187754;5025516;2379885;4640344.5;385171.22;5341153.5;3679014.5;2174596.3;1628429.8;1950916.6;223679.48;LA GUAJIRA
mujer;44;2015;11162904;7680426;5310733;2626078.5;4912498;398234.81;5613992;3936608.8;2391432.3;1655363.9;2168921.5;222510.73;LA GUAJIRA
hombre;44;2015;11162904;7680426;5310733;2626078.5;4912498;398234.81;5548912.5;3743817;2919300.5;970714.63;2743576.5;175724.08;LA GUAJIRA
mujer;47;2012;14026714;10230694;5944406;4213924.5;5488285;456121.41;6897181.5;5047790;2238287;2759024.3;1971609.3;266677.84;MAGDALENA
mujer;47;2017;15248970;11416098;6627339.5;5038953.5;6123923.5;503415.75;7546979;5694299;2581709.8;3243319.3;2240663.5;341046.25;MAGDALENA
hombre;47;2012;14026714;10230694;5944406;4213924.5;5488285;456121.41;7129533;5182903.5;3706119.3;1454900.3;3516675.8;189443.55;MAGDALENA
hombre;47;2016;14937727;11005857;6470294;4774502.5;5936584.5;533709.38;7505539.5;5420976;3843726.3;1718768.5;3667817.5;175908.72;MAGDALENA
hombre;47;2019;15568784;11731986;6799788.5;5137685;6212811;586977.44;7845975.5;5892954.5;4237822;1760751;4022953.5;214868.63;MAGDALENA
mujer;47;2018;15379584;11576208;6604923;5161546.5;6159164;445759.22;7629906.5;5769684;2519970.8;3326681.5;2253811;266159.75;MAGDALENA
hombre;47;2018;15379584;11576208;6604923;5161546.5;6159164;445759.22;7749677.5;5806523.5;4084952.3;1834865;3905352.8;179599.44;MAGDALENA
hombre;47;2017;15248970;11416098;6627339.5;5038953.5;6123923.5;503415.75;7701991;5721799;4045629.8;1795634.3;3883260.3;162369.5;MAGDALENA
mujer;47;2013;14248020;10403234;5932357;4679010;5493157;439200.38;6979540;5170143.5;2270014.8;2986981.8;1998637.8;271377.03;MAGDALENA
mujer;47;2015;14814568;10863043;6373992;4721578;5930707;443285.44;7312168.5;5429604.5;2518768.5;3023779;2231271;287497.59;MAGDALENA
mujer;47;2011;13709607;9967803;5668468;4478417;5137368.5;531099.5;6879689;5013737;2109362.3;2982960.5;1817882;291480.41;MAGDALENA
hombre;47;2011;13709607;9967803;5668468;4478417;5137368.5;531099.5;6829917.5;4954066;3559105.5;1495456.5;3319486.5;239619.13;MAGDALENA
hombre;47;2015;14814568;10863043;6373992;4721578;5930707;443285.44;7502399.5;5433439;3855223.8;1697798.8;3699435.8;155787.81;MAGDALENA
mujer;47;2016;14937727;11005857;6470294;4774502.5;5936584.5;533709.38;7432187.5;5584880.5;2626567.5;3055733.8;2268767;357800.63;MAGDALENA
mujer;47;2019;15568784;11731986;6799788.5;5137685;6212811;586977.44;7722808;5839032;2561966.3;3376934;2189857.5;372108.78;MAGDALENA
hombre;47;2013;14248020;10403234;5932357;4679010;5493157;439200.38;7268480.5;5233091;3662342.3;1692028;3494519;167823.33;MAGDALENA
mujer;47;2014;14538508;10668318;6180159;4705615.5;5742890;437269.03;7137476.5;5327555;2384217.5;3027359;2116498.5;267718.88;MAGDALENA
hombre;47;2014;14538508;10668318;6180159;4705615.5;5742890;437269.03;7401031;5340763;3795941.5;1678256.4;3626391.3;169550.17;MAGDALENA
mujer;50;2013;11100464;8410837;5192116.5;3389307.5;4660111;532005.31;5577008;4244778;2063523.4;2257576.8;1790566.8;272956.56;META
hombre;50;2018;12159635;9446720;5948283.5;3672703.8;5248828.5;699455.06;6095823.5;4723044.5;3556473;1262059.4;3209116.3;347356.66;META
hombre;50;2015;11463635;8779507;5669069;3266006.5;5097105;571964.31;5741739;4357250;3319780.3;1119798.4;3037280;282500.25;META
hombre;50;2017;11776146;9142179;5984003.5;3308456;5264608;719395.44;5907681;4553443;3524414.8;1115203.6;3199045.5;325369.16;META
mujer;50;2015;11463635;8779507;5669069;3266006.5;5097105;571964.31;5721895.5;4422257;2349289;2146208;2059824.9;289464.06;META
mujer;50;2014;11292423;8624641;5371528.5;3411689.8;4826400.5;545128.44;5589377.5;4308876.5;2135438.8;2241447.5;1871074.8;264364.06;META
mujer;50;2011;10811701;8121365;5269596.5;3023372.5;4776304;493292.84;5369900;4090517;2152132.3;2010378.5;1898794.5;253337.84;META
hombre;50;2019;12261109;9545869;6028807;3676569;5268471.5;760335.81;6178651;4794567;3620039.5;1258054;3237857;382182.53;META
mujer;50;2019;12261109;9545869;6028807;3676569;5268471.5;760335.81;6082458;4751302.5;2408767.5;2418515;2030614.3;378153.28;META
mujer;50;2018;12159635;9446720;5948283.5;3672703.8;5248828.5;699455.06;6063811;4723675.5;2391810.5;2410644.5;2039712.1;352098.38;META
hombre;50;2014;11292423;8624641;5371528.5;3411689.8;4826400.5;545128.44;5703046;4315764.5;3236090;1170242.4;2955325.5;280764.34;META
hombre;50;2013;11100464;8410837;5192116.5;3389307.5;4660111;532005.31;5523455.5;4166058.8;3128593;1131730.9;2869544.3;259048.77;META
hombre;50;2011;10811701;8121365;5269596.5;3023372.5;4776304;493292.84;5441800.5;4030847.8;3117464.3;1012994.1;2877509.3;239954.98;META
hombre;50;2012;10968834;8306980;5293345;3064588.5;4743248.5;550096.63;5503245.5;4150701.3;3221878.5;976450.38;2952455.5;269422.84;META
mujer;50;2016;11910793;9058793;5770607.5;3456691.5;5170468.5;600139;5916718;4551662;2351203.8;2270142.8;2047919.5;303284.25;META
mujer;50;2012;10968834;8306980;5293345;3064588.5;4743248.5;550096.63;5465588;4156278.8;2071466.8;2088138;1790792.9;280673.78;META
mujer;50;2017;11776146;9142179;5984003.5;3308456;5264608;719395.44;5868465.5;4588736;2459588.8;2193252.5;2065562.4;394026.31;META
hombre;50;2016;11910793;9058793;5770607.5;3456691.5;5170468.5;600139;5994075.5;4507131;3419403.8;1186548.5;3122549;296854.72;META
mujer;52;2013;20204402;15884155;11018287;5240011.5;9799334;1218952.8;10218365;8099462;4834055;3420595;4087769;746286;NARIÑO
hombre;52;2019;21279900;17098904;11550704;5900609.5;10794113;756591;10476465;8433457;6568149;2052461.1;6258158;309991.06;NARIÑO
mujer;52;2015;21091336;16836404;11715681;5553968;10632707;1082974;10622104;8570528;5125934.5;3627627.8;4398056;727878.19;NARIÑO
hombre;52;2014;20540246;16161414;11090317;5427061;9891766;1198551.1;10125168;7854300.5;6169666.5;1883697.3;5738017.5;431648.91;NARIÑO
mujer;52;2014;20540246;16161414;11090317;5427061;9891766;1198551.1;10415078;8307113;4920650.5;3543363.8;4153748.5;766902.19;NARIÑO
mujer;52;2012;19840558;15468520;10709511;4797725;9328767;1380744.1;10113859;7933560;4681082;3197757;3806898;874184.13;NARIÑO
mujer;52;2016;20790268;16589994;11780741;5135348;10862772;917968.25;10553420;8502134;5267251;3368732.3;4690383;576868.31;NARIÑO
mujer;52;2011;19983262;15506540;10918157;4951847.5;9334795;1583361.4;10051634;7883642.5;4797898.5;3257537;3771958;1025940.7;NARIÑO
hombre;52;2013;20204402;15884155;11018287;5240011.5;9799334;1218952.8;9986037;7784693;6184232;1819416.6;5711565;472666.75;NARIÑO
hombre;52;2017;20993082;16643653;11865303;5096824.5;11014872;850431.31;10336857;8120719.5;6623696;1654474.4;6321047.5;302648.38;NARIÑO
mujer;52;2017;20993082;16643653;11865303;5096824.5;11014872;850431.31;10656225;8522933;5241607;3442349.8;4693824.5;547782.94;NARIÑO
mujer;52;2019;21279900;17098904;11550704;5900609.5;10794113;756591;10803435;8665447;4982555;3848148.8;4535955;446599.91;NARIÑO
hombre;52;2018;21251916;16988558;11429431;5913377.5;10705675;723756.69;10414542;8247239;6453209.5;1980481.9;6143658;309551.63;NARIÑO
hombre;52;2011;19983262;15506540;10918157;4951847.5;9334795;1583361.4;9931628;7622897.5;6120258;1694310.3;5562837.5;557420.69;NARIÑO
hombre;52;2016;20790268;16589994;11780741;5135348;10862772;917968.25;10236848;8087860.5;6513489.5;1766615.6;6172389.5;341099.94;NARIÑO
hombre;52;2012;19840558;15468520;10709511;4797725;9328767;1380744.1;9726699;7534959.5;6028429;1599968;5521869;506560;NARIÑO
mujer;52;2018;21251916;16988558;11429431;5913377.5;10705675;723756.69;10837374;8741318;4976221.5;3932895.8;4562016.5;414205.06;NARIÑO
hombre;52;2015;21091336;16836404;11715681;5553968;10632707;1082974;10469231;8265875.5;6589746;1926340.3;6234650.5;355095.88;NARIÑO
mujer;54;2014;18836386;14517796;8650787;6098157;7672955;977831.56;9495929;7398038.5;3345593.3;4141187.3;2856309.5;489283.56;N. DE SANTANDER
hombre;54;2012;18424336;14079420;8941442;5080703;7904518.5;1036923.1;9098403;6885612.5;5394123.5;1513765.3;4917994.5;476128.94;N. DE SANTANDER
hombre;54;2011;18401682;14048779;8652071;5631227;7652135.5;999935.25;9147253;6901427.5;5347297.5;1680522.8;4875447.5;471849.91;N. DE SANTANDER
hombre;54;2015;18880806;14677426;8688906;6195701.5;7655812;1033093.5;9352753;7146596;5336737.5;1928204.4;4813777;522960.84;N. DE SANTANDER
hombre;54;2013;18550180;14250153;8850254;5608145;7790460.5;1059793.6;9234733;7022456;5410147.5;1728565.6;4933542;476605.56;N. DE SANTANDER
mujer;54;2016;19188032;14901349;8885780;6248530.5;7837169;1048610.9;9616168;7573171;3486932.5;4155397.5;2996952;489980.66;N. DE SANTANDER
mujer;54;2013;18550180;14250153;8850254;5608145;7790460.5;1059793.6;9315448;7227697;3440107;3879579.3;2856919;583188.06;N. DE SANTANDER
hombre;54;2014;18836386;14517796;8650787;6098157;7672955;977831.56;9340458;7119758;5305193.5;1956969.6;4816645.5;488548;N. DE SANTANDER
mujer;54;2019;20102524;15720972;8830695;7069190.5;7582705;1247989.6;10110768;7998363.5;3368246;4732903;2778064.8;590181.38;N. DE SANTANDER
mujer;54;2015;18880806;14677426;8688906;6195701.5;7655812;1033093.5;9528053;7530830;3352167.8;4267497;2842035.3;510132.63;N. DE SANTANDER
hombre;54;2017;19594782;15208618;9041606;6397736;7992224.5;1049382;9764581;7437926;5476646.5;2121486;4984059.5;492586.88;N. DE SANTANDER
mujer;54;2018;19882330;15510910;8843705;6878219.5;7732039;1111666;10076571;7941427;3417277.5;4613563.5;2850440.8;566836.63;N. DE SANTANDER
hombre;54;2019;20102524;15720972;8830695;7069190.5;7582705;1247989.6;9991757;7722608.5;5462448.5;2336287.5;4804640.5;657808.19;N. DE SANTANDER
mujer;54;2017;19594782;15208618;9041606;6397736;7992224.5;1049382;9830202;7770692;3564959.8;4276250;3008164.8;556795.13;N. DE SANTANDER
mujer;54;2011;18401682;14048779;8652071;5631227;7652135.5;999935.25;9254429;7147352;3304773.5;3950704.3;2776688;528085.31;N. DE SANTANDER
hombre;54;2018;19882330;15510910;8843705;6878219.5;7732039;1111666;9805759;7569482.5;5426427.5;2264656.3;4881598;544829.44;N. DE SANTANDER
mujer;54;2012;18424336;14079420;8941442;5080703;7904518.5;1036923.1;9325932;7193807;3547318;3566938;2986524;560794.19;N. DE SANTANDER
hombre;54;2016;19188032;14901349;8885780;6248530.5;7837169;1048610.9;9571864;7328178;5398847.5;2093132.9;4840217;558630.25;N. DE SANTANDER
mujer;63;2015;9129412;7377949;4713849.5;2735193.8;4156299.5;557549.94;4576292;3715506;1948911.4;1803825.8;1625939.9;322971.47;QUINDIO
hombre;63;2015;9129412;7377949;4713849.5;2735193.8;4156299.5;557549.94;4553120;3662443;2764938.3;931368.13;2530359.8;234578.45;QUINDIO
hombre;63;2013;9089029;7302780;4667386;2746524;3997903.3;669483;4548587;3626438.5;2739403.5;940577.25;2461154.5;278249.06;QUINDIO
mujer;63;2016;10576224;8528272;5668905.5;2948369;4960547;708358.69;5253650.5;4261265;2349270;1938764;1935634.9;413635.13;QUINDIO
mujer;63;2017;11227014;9066708;5965079.5;3213483.8;5256017;709062.63;5539540.5;4498839.5;2466936.3;2090596.6;2053775.8;413160.63;QUINDIO
hombre;63;2014;10944793;8685615;5657948;3192824.8;5006639.5;651308.5;5473065;4305559;3332456.3;1063078.8;3064927.5;267528.72;QUINDIO
mujer;63;2018;11309488;8991195;5943201.5;3144253.5;5194561.5;748640.19;5565734;4496643;2413676;2115822.8;2021190.8;392485.34;QUINDIO
hombre;63;2018;11309488;8991195;5943201.5;3144253.5;5194561.5;748640.19;5743754;4494551.5;3529525.3;1028430.8;3173370.5;356154.81;QUINDIO
mujer;63;2012;9250755;7359204;4588078;2744749.5;3949040.3;639037.94;4695563;3751143.8;1901800.9;1819160.6;1540112.8;361688.16;QUINDIO
hombre;63;2016;10576224;8528272;5668905.5;2948369;4960547;708358.69;5322574;4267007.5;3319635.5;1009604.9;3024912;294723.56;QUINDIO
hombre;63;2011;9150118;7286798;4531605.5;2854761.3;3754859.8;776745.81;4554097;3646010.5;2742124.5;957072.88;2407324.3;334800.38;QUINDIO
hombre;63;2019;11484092;9267331;6055235;3313413.8;5231376;823858.88;5756858;4632053.5;3578718;1106936.6;3211273;367444.94;QUINDIO
mujer;63;2019;11484092;9267331;6055235;3313413.8;5231376;823858.88;5727234;4635277;2476516.8;2206477;2020102.9;456413.94;QUINDIO
hombre;63;2017;11227014;9066708;5965079.5;3213483.8;5256017;709062.63;5687473;4567868;3498143.3;1122887.3;3202241.3;295902;QUINDIO
hombre;63;2012;9250755;7359204;4588078;2744749.5;3949040.3;639037.94;4555191.5;3608060;2686277.5;925588.81;2408927.5;277349.81;QUINDIO
mujer;63;2014;10944793;8685615;5657948;3192824.8;5006639.5;651308.5;5471727.5;4380055.5;2325491.8;2129746;1941711.9;383779.75;QUINDIO
mujer;63;2013;9089029;7302780;4667386;2746524;3997903.3;669483;4540442;3676341.8;1927982.6;1805946.6;1536748.6;391233.94;QUINDIO
mujer;63;2011;9150118;7286798;4531605.5;2854761.3;3754859.8;776745.81;4596021;3640787.5;1789481;1897688.4;1347535.6;441945.47;QUINDIO
mujer;66;2013;13213173;10574042;6526577;4198602.5;5678742;847835;6724661;5464967;2664311;2860778;2199126.3;465184.78;RISARALDA
hombre;66;2013;13213173;10574042;6526577;4198602.5;5678742;847835;6488512.5;5109075.5;3862266;1337824.3;3479615.8;382650.22;RISARALDA
mujer;66;2011;13153126;10431547;6732124;3869030;5762574;969550.13;6680633.5;5330606.5;2794324.8;2620750.8;2266419;527905.81;RISARALDA
mujer;66;2015;13316194;10746084;6739443;4139212.3;6030723.5;708719.75;6790314.5;5537128.5;2790581;2806634.5;2400423.5;390157.53;RISARALDA
hombre;66;2015;13316194;10746084;6739443;4139212.3;6030723.5;708719.75;6525879;5208956;3948862;1332577.9;3630299.8;318562.25;RISARALDA
mujer;66;2012;13205921;10546671;6810164;3680937.8;5775790.5;1034373.4;6732800.5;5451074.5;2823684.8;2543911;2271262;552422.81;RISARALDA
mujer;66;2014;13406808;10796734;6772784.5;4163214.3;5955237.5;817547;6867039.5;5592865.5;2813148.5;2840888;2378334.3;434814.22;RISARALDA
mujer;66;2018;13927902;11283492;7260670;4163575.5;6717961.5;542708.44;7051121;5791340;2963174;2887915.5;2651795;311379.19;RISARALDA
mujer;66;2019;13946587;11310856;6992843;4442901;6476533;516309.94;7115918;5837157;2847292;3041498.8;2568538.3;278753.84;RISARALDA
hombre;66;2018;13927902;11283492;7260670;4163575.5;6717961.5;542708.44;6876780.5;5492152.5;4297496;1275659.9;4066166.8;231329.22;RISARALDA
hombre;66;2012;13205921;10546671;6810164;3680937.8;5775790.5;1034373.4;6473121;5095596.5;3986479.3;1137026.6;3504528.5;481950.59;RISARALDA
mujer;66;2016;13434140;10836432;6918778.5;4059553.3;6292858.5;625920.25;6835893.5;5582846;2875549;2756215;2496359;379189.91;RISARALDA
hombre;66;2016;13434140;10836432;6918778.5;4059553.3;6292858.5;625920.25;6598246.5;5253585.5;4043229.8;1303338.3;3796499.5;246730.33;RISARALDA
hombre;66;2011;13153126;10431547;6732124;3869030;5762574;969550.13;6472493;5100940.5;3937799.3;1248279.4;3496155;441644.28;RISARALDA
mujer;66;2017;13804050;11143255;7168111;4139162.8;6629139;538972.13;6969142;5674671;2892789.5;2850566.8;2589870.3;302919.34;RISARALDA
hombre;66;2014;13406808;10796734;6772784.5;4163214.3;5955237.5;817547;6539768;5203868;3959636;1322326.4;3576903.3;382732.75;RISARALDA
hombre;66;2019;13946587;11310856;6992843;4442901;6476533;516309.94;6830669.5;5473698.5;4145550.8;1401402.1;3907994.8;237556.09;RISARALDA
hombre;66;2017;13804050;11143255;7168111;4139162.8;6629139;538972.13;6834908.5;5468583.5;4275321.5;1288596;4039268.5;236052.78;RISARALDA
hombre;68;2015;26704402;21434996;14874399;6832171.5;13862484;1011915.5;13238131;10532644;8246903.5;2419932.8;7785042;461861.38;SANTANDER
mujer;68;2019;27655564;22299696;15203713;7354376;13654009;1549703.8;13996672;11366841;6709773.5;4776536;5840392;869381.38;SANTANDER
mujer;68;2012;25931236;20628562;14338640;6124814;13201348;1137292;13149105;10562759;6380215;4022553.8;5734661.5;645553.56;SANTANDER
mujer;68;2014;26075356;20943126;14566548;6619966;13590738;975810.5;13327717;10788667;6573019.5;4329543;6022929;550090.56;SANTANDER
