year;dpto;nom_dpto;nom_ciu;sexo;inf;inf_b
2012;5;Antioquia;Medellin;mujer;0.58005649;0.57896703
2012;8;Atlantico;Barranquilla;hombre;0.61363935;0.61301166
2012;8;Atlantico;Barranquilla;mujer;0.62936795;0.62873363
2012;11;Bogota;Bogota;hombre;0.42574841;0.42462704
2012;11;Bogota;Bogota;mujer;0.50806415;0.505714
2012;13;Bolivar;Cartagena;hombre;0.71430558;0.71430558
2012;13;Bolivar;Cartagena;mujer;0.71696854;0.71478105
2012;15;Boyaca;Tunja;hombre;0.69189966;0.69188106
2012;15;Boyaca;Tunja;mujer;0.73867702;0.73746109
2012;17;Caldas;Manizales;hombre;0.56244177;0.56071109
2012;17;Caldas;Manizales;mujer;0.56808871;0.56793052
2012;18;Caqueta;Florencia;hombre;0.84959054;0.84959054
2012;18;Caqueta;Florencia;mujer;0.78967756;0.787166
2012;19;Cauca;Popayan;hombre;0.76844257;0.76832157
2012;19;Cauca;Popayan;mujer;0.75174665;0.75100482
2012;20;Cesar;Valledupar;hombre;0.70986927;0.70832729
2012;20;Cesar;Valledupar;mujer;0.70768279;0.70639896
2012;23;Cordoba;Monteria;hombre;0.77901781;0.77694303
2012;23;Cordoba;Monteria;mujer;0.79327947;0.79111469
2012;25;Cundinamarca;Cundinamarca;hombre;0.58854395;0.58648849
2012;25;Cundinamarca;Cundinamarca;mujer;0.63098216;0.6271354
2012;27;Choco;Quibdo;hombre;0.79048878;0.78974617
2012;27;Choco;Quibdo;mujer;0.73596042;0.73568374
2012;41;Huila;Neiva;hombre;0.78570771;0.78405559
2012;41;Huila;Neiva;mujer;0.77951181;0.77346498
2012;44;La Guajira;Riohacha;hombre;0.77646655;0.77501941
2012;44;La Guajira;Riohacha;mujer;0.77300471;0.77173054
2012;47;Magdalena;Santa Marta;hombre;0.73466003;0.73456734
2012;47;Magdalena;Santa Marta;mujer;0.74017113;0.73623669
2012;50;Meta;Villavicencio;hombre;0.65526789;0.65354526
2012;50;Meta;Villavicencio;mujer;0.69783717;0.69506973
2012;52;Nariño;Pasto;hombre;0.81633085;0.81552696
2012;52;Nariño;Pasto;mujer;0.78574526;0.78211021
2012;54;Norte de Santander;Cucuta;hombre;0.78201193;0.78060621
2012;54;Norte de Santander;Cucuta;mujer;0.7490803;0.74726903
2012;63;Quindio;Armenia;hombre;0.67209995;0.67170811
2012;63;Quindio;Armenia;mujer;0.73511839;0.73445916
2012;66;Risaralda;Pereira;hombre;0.57979661;0.57950568
2012;66;Risaralda;Pereira;mujer;0.63039255;0.63000149
2012;68;Santander;Bucaramanga;hombre;0.6725319;0.67024577
2012;68;Santander;Bucaramanga;mujer;0.69027239;0.68567574
2012;70;Sucre;Sincelejo;hombre;0.83450216;0.83275878
2012;70;Sucre;Sincelejo;mujer;0.81512916;0.80707985
2012;73;Tolima;Ibague;hombre;0.69187021;0.69146824
2012;73;Tolima;Ibague;mujer;0.76602852;0.76181793
2012;76;Valle del Cauca;Cali;hombre;0.52108896;0.52017879
2012;76;Valle del Cauca;Cali;mujer;0.63961673;0.63725352
2013;5;Antioquia;Medellin;hombre;0.52928263;0.52690816
2013;5;Antioquia;Medellin;mujer;0.57101023;0.56978905
2013;8;Atlantico;Barranquilla;hombre;0.58524388;0.5848127
2013;8;Atlantico;Barranquilla;mujer;0.60610682;0.60523432
2013;11;Bogota;Bogota;hombre;0.41458434;0.41278335
2013;11;Bogota;Bogota;mujer;0.47049746;0.46764106
2013;13;Bolivar;Cartagena;hombre;0.7131387;0.71200019
2013;13;Bolivar;Cartagena;mujer;0.68913954;0.68792045
2013;15;Boyaca;Tunja;hombre;0.68275142;0.68272388
2013;15;Boyaca;Tunja;mujer;0.6973443;0.69551992
2013;17;Caldas;Manizales;hombre;0.59453183;0.5940361
2013;17;Caldas;Manizales;mujer;0.55073607;0.55022311
2013;18;Caqueta;Florencia;hombre;0.85342252;0.85338724
2013;18;Caqueta;Florencia;mujer;0.77251983;0.77228558
2013;19;Cauca;Popayan;hombre;0.76023799;0.76023799
2013;19;Cauca;Popayan;mujer;0.7317012;0.72789598
2013;20;Cesar;Valledupar;hombre;0.70881003;0.70684129
2013;20;Cesar;Valledupar;mujer;0.69820672;0.69748533
2013;23;Cordoba;Monteria;hombre;0.7974773;0.79735929
2013;23;Cordoba;Monteria;mujer;0.77596116;0.77471876
2013;25;Cundinamarca;Cundinamarca;hombre;0.59512049;0.59471053
2013;25;Cundinamarca;Cundinamarca;mujer;0.64067185;0.63421375
2013;27;Choco;Quibdo;hombre;0.78093117;0.77959508
2013;27;Choco;Quibdo;mujer;0.71306068;0.71277571
2013;41;Huila;Neiva;hombre;0.76644903;0.76361662
2013;41;Huila;Neiva;mujer;0.76664114;0.76145089
2013;44;La Guajira;Riohacha;hombre;0.76033008;0.75916541
2013;44;La Guajira;Riohacha;mujer;0.76473439;0.76380813
2013;47;Magdalena;Santa Marta;hombre;0.71898741;0.71827734
2013;47;Magdalena;Santa Marta;mujer;0.72287947;0.72073776
2013;50;Meta;Villavicencio;hombre;0.64516336;0.64481133
2013;50;Meta;Villavicencio;mujer;0.67178684;0.66881841
2013;52;Nariño;Pasto;hombre;0.80380803;0.80324125
2013;52;Nariño;Pasto;mujer;0.76803899;0.76611251
2013;54;Norte de Santander;Cucuta;hombre;0.78589582;0.78533822
2013;54;Norte de Santander;Cucuta;mujer;0.74146187;0.74025452
2013;63;Quindio;Armenia;hombre;0.67620677;0.67517865
2013;63;Quindio;Armenia;mujer;0.72291481;0.72152615
2013;66;Risaralda;Pereira;hombre;0.56177032;0.56109613
2013;66;Risaralda;Pereira;mujer;0.61939132;0.61904395
2013;68;Santander;Bucaramanga;hombre;0.67007709;0.66817081
2013;68;Santander;Bucaramanga;mujer;0.69810259;0.69496095
2013;70;Sucre;Sincelejo;hombre;0.82543701;0.82473588
2013;70;Sucre;Sincelejo;mujer;0.76727259;0.76020181
2013;73;Tolima;Ibague;hombre;0.6689775;0.66854554
2013;73;Tolima;Ibague;mujer;0.73649263;0.73548907
2013;76;Valle del Cauca;Cali;hombre;0.51235372;0.50972492
2013;76;Valle del Cauca;Cali;mujer;0.63201106;0.62449229
2014;5;Antioquia;Medellin;hombre;0.50362891;0.50277746
2014;5;Antioquia;Medellin;mujer;0.55136997;0.55028421
2014;8;Atlantico;Barranquilla;hombre;0.57673079;0.57673079
2014;8;Atlantico;Barranquilla;mujer;0.60468364;0.60294777
2014;11;Bogota;Bogota;hombre;0.40850756;0.40799403
2014;11;Bogota;Bogota;mujer;0.4714168;0.46947828
2014;13;Bolivar;Cartagena;hombre;0.70195568;0.70079315
2014;13;Bolivar;Cartagena;mujer;0.68659323;0.6843943
2014;15;Boyaca;Tunja;hombre;0.68408358;0.68359786
2014;15;Boyaca;Tunja;mujer;0.69516987;0.692514
2014;17;Caldas;Manizales;hombre;0.55728358;0.55704981
2014;17;Caldas;Manizales;mujer;0.55759585;0.5575282
2014;18;Caqueta;Florencia;hombre;0.82486242;0.82477683
2014;18;Caqueta;Florencia;mujer;0.75725943;0.75646979
2014;19;Cauca;Popayan;hombre;0.75140876;0.75139201
2014;19;Cauca;Popayan;mujer;0.70860749;0.70825315
2014;20;Cesar;Valledupar;hombre;0.72064358;0.72009039
2014;20;Cesar;Valledupar;mujer;0.67305011;0.67238659
2014;23;Cordoba;Monteria;hombre;0.82547748;0.8237921
2014;23;Cordoba;Monteria;mujer;0.74991828;0.74931848
2014;25;Cundinamarca;Cundinamarca;hombre;0.57379073;0.56980103
2014;25;Cundinamarca;Cundinamarca;mujer;0.63650614;0.63158643
2014;27;Choco;Quibdo;hombre;0.76878953;0.76872134
2014;27;Choco;Quibdo;mujer;0.62673748;0.62670517
2014;41;Huila;Neiva;hombre;0.75672847;0.75622582
2014;41;Huila;Neiva;mujer;0.71715569;0.71225983
2014;44;La Guajira;Riohacha;hombre;0.75983679;0.75934541
2014;44;La Guajira;Riohacha;mujer;0.75079542;0.74995607
2014;47;Magdalena;Santa Marta;hombre;0.72673416;0.72673416
2014;47;Magdalena;Santa Marta;mujer;0.71580738;0.71057951
2014;50;Meta;Villavicencio;hombre;0.62809974;0.62768728
2014;50;Meta;Villavicencio;mujer;0.65996206;0.65806663
2014;52;Nariño;Pasto;hombre;0.8014701;0.80015194
2014;52;Nariño;Pasto;mujer;0.76332229;0.75925261
2014;54;Norte de Santander;Cucuta;hombre;0.77449006;0.77391386
2014;54;Norte de Santander;Cucuta;mujer;0.71814823;0.71706325
2014;63;Quindio;Armenia;hombre;0.66392803;0.66272855
2014;63;Quindio;Armenia;mujer;0.72959751;0.72942257
2014;66;Risaralda;Pereira;hombre;0.55056012;0.54961443
2014;66;Risaralda;Pereira;mujer;0.60237324;0.60169232
2014;68;Santander;Bucaramanga;hombre;0.63342488;0.62954354
2014;68;Santander;Bucaramanga;mujer;0.68205482;0.67628878
2014;70;Sucre;Sincelejo;hombre;0.809228;0.80763
2014;70;Sucre;Sincelejo;mujer;0.76176047;0.75412643
2014;73;Tolima;Ibague;hombre;0.65750766;0.65670335
2014;73;Tolima;Ibague;mujer;0.71220672;0.70836318
2014;76;Valle del Cauca;Cali;hombre;0.50224513;0.5003978
2014;76;Valle del Cauca;Cali;mujer;0.5946005;0.59233803
2015;5;Antioquia;Medellin;hombre;0.48986256;0.48855376
2015;5;Antioquia;Medellin;mujer;0.52525747;0.52479941
2015;8;Atlantico;Barranquilla;hombre;0.56283754;0.56189156
2015;8;Atlantico;Barranquilla;mujer;0.61358696;0.61329001
2015;11;Bogota;Bogota;hombre;0.41101292;0.41013244
2015;11;Bogota;Bogota;mujer;0.46701854;0.46466285
2015;13;Bolivar;Cartagena;hombre;0.70819986;0.70727581
2015;13;Bolivar;Cartagena;mujer;0.69630498;0.69455528
2015;15;Boyaca;Tunja;hombre;0.66329348;0.66230816
2015;15;Boyaca;Tunja;mujer;0.71237504;0.70320082
2015;17;Caldas;Manizales;hombre;0.57042629;0.57002133
2015;17;Caldas;Manizales;mujer;0.54655796;0.54622883
2015;18;Caqueta;Florencia;hombre;0.82435989;0.82339758
2015;18;Caqueta;Florencia;mujer;0.76245761;0.76003987
2015;19;Cauca;Popayan;hombre;0.7625742;0.76118094
2015;19;Cauca;Popayan;mujer;0.72537297;0.72085297
2015;20;Cesar;Valledupar;hombre;0.73420048;0.73414642
2015;20;Cesar;Valledupar;mujer;0.67638052;0.67452449
2015;23;Cordoba;Monteria;hombre;0.83584404;0.8352294
2015;23;Cordoba;Monteria;mujer;0.78972048;0.78961599
2015;25;Cundinamarca;Cundinamarca;hombre;0.57380724;0.57071072
2015;25;Cundinamarca;Cundinamarca;mujer;0.62548566;0.62258792
2015;27;Choco;Quibdo;hombre;0.79371583;0.79234701
2015;27;Choco;Quibdo;mujer;0.6815964;0.68073964
2015;41;Huila;Neiva;hombre;0.75469118;0.75352758
2015;41;Huila;Neiva;mujer;0.72880256;0.72022635
2015;44;La Guajira;Riohacha;hombre;0.76318926;0.76318926
2015;44;La Guajira;Riohacha;mujer;0.72868723;0.72856468
2015;47;Magdalena;Santa Marta;hombre;0.71733403;0.71698838
2015;47;Magdalena;Santa Marta;mujer;0.71927065;0.71835905
2015;50;Meta;Villavicencio;hombre;0.63792264;0.63751298
2015;50;Meta;Villavicencio;mujer;0.6535911;0.65302986
2015;52;Nariño;Pasto;hombre;0.80688035;0.8067171
2015;52;Nariño;Pasto;mujer;0.76054406;0.75678515
2015;54;Norte de Santander;Cucuta;hombre;0.78022581;0.77920419
2015;54;Norte de Santander;Cucuta;mujer;0.72444248;0.72358137
2015;63;Quindio;Armenia;hombre;0.65380955;0.65361965
2015;63;Quindio;Armenia;mujer;0.70997155;0.70883566
