year;dpto;nom_dpto;nom_ciu;sexo;horas
2012;47;Magdalena;Santa Marta;mujer;36.854824
2012;50;Meta;Villavicencio;hombre;52.263973
2012;50;Meta;Villavicencio;mujer;44.294804
2012;52;Nariño;Pasto;hombre;43.677242
2012;52;Nariño;Pasto;mujer;35.994499
2012;54;Norte de Santander;Cucuta;hombre;49.535374
2012;54;Norte de Santander;Cucuta;mujer;39.307922
2012;63;Quindio;Armenia;hombre;51.324215
2012;63;Quindio;Armenia;mujer;39.856495
2012;66;Risaralda;Pereira;hombre;50.137043
2012;66;Risaralda;Pereira;mujer;41.347675
2012;68;Santander;Bucaramanga;hombre;49.050495
2012;68;Santander;Bucaramanga;mujer;39.258179
2012;70;Sucre;Sincelejo;hombre;46.874699
2012;70;Sucre;Sincelejo;mujer;33.989956
2012;73;Tolima;Ibague;hombre;45.600796
2012;73;Tolima;Ibague;mujer;35.308189
2012;76;Valle del Cauca;Cali;hombre;49.559174
2012;76;Valle del Cauca;Cali;mujer;40.06691
2013;5;Antioquia;Medellin;hombre;48.896015
2013;5;Antioquia;Medellin;mujer;40.0448
2013;8;Atlantico;Barranquilla;hombre;51.31987
2013;8;Atlantico;Barranquilla;mujer;40.265968
2013;11;Bogota;Bogota;hombre;50.983807
2013;11;Bogota;Bogota;mujer;42.830276
2013;13;Bolivar;Cartagena;hombre;47.345852
2013;13;Bolivar;Cartagena;mujer;38.856857
2013;15;Boyaca;Tunja;hombre;46.788715
2013;15;Boyaca;Tunja;mujer;37.006767
2013;17;Caldas;Manizales;hombre;51.053101
2013;17;Caldas;Manizales;mujer;42.073956
2013;18;Caqueta;Florencia;hombre;50.025288
2013;18;Caqueta;Florencia;mujer;42.468979
2013;19;Cauca;Popayan;hombre;41.588017
2013;19;Cauca;Popayan;mujer;37.188953
2013;20;Cesar;Valledupar;hombre;52.170746
2013;20;Cesar;Valledupar;mujer;41.763821
2013;23;Cordoba;Monteria;hombre;44.03054
2013;23;Cordoba;Monteria;mujer;34.489811
2013;25;Cundinamarca;Cundinamarca;hombre;48.298134
2013;25;Cundinamarca;Cundinamarca;mujer;37.451515
2013;27;Choco;Quibdo;hombre;48.185135
2013;27;Choco;Quibdo;mujer;41.040234
2013;41;Huila;Neiva;hombre;45.628696
2013;41;Huila;Neiva;mujer;35.280926
2013;44;La Guajira;Riohacha;hombre;47.640774
2013;44;La Guajira;Riohacha;mujer;35.736084
2013;47;Magdalena;Santa Marta;hombre;51.028023
2013;47;Magdalena;Santa Marta;mujer;37.341255
2013;50;Meta;Villavicencio;hombre;53.355213
2013;50;Meta;Villavicencio;mujer;44.118649
2013;52;Nariño;Pasto;hombre;43.052605
2013;52;Nariño;Pasto;mujer;34.894043
2013;54;Norte de Santander;Cucuta;hombre;49.165848
2013;54;Norte de Santander;Cucuta;mujer;40.009861
2013;63;Quindio;Armenia;hombre;50.171967
2013;63;Quindio;Armenia;mujer;38.26403
2013;66;Risaralda;Pereira;hombre;50.855263
2013;66;Risaralda;Pereira;mujer;41.698601
2013;68;Santander;Bucaramanga;hombre;48.271076
2013;68;Santander;Bucaramanga;mujer;39.510693
2013;70;Sucre;Sincelejo;hombre;46.976845
2013;70;Sucre;Sincelejo;mujer;34.402252
2013;73;Tolima;Ibague;hombre;47.192425
2013;73;Tolima;Ibague;mujer;36.825768
2013;76;Valle del Cauca;Cali;hombre;49.021538
2013;76;Valle del Cauca;Cali;mujer;38.964958
2014;5;Antioquia;Medellin;hombre;49.243065
2014;5;Antioquia;Medellin;mujer;40.708626
2014;8;Atlantico;Barranquilla;hombre;51.401581
2014;8;Atlantico;Barranquilla;mujer;40.159023
2014;11;Bogota;Bogota;hombre;50.310448
2014;11;Bogota;Bogota;mujer;42.968109
2014;13;Bolivar;Cartagena;hombre;46.255135
2014;13;Bolivar;Cartagena;mujer;38.779831
2014;15;Boyaca;Tunja;hombre;45.190639
2014;15;Boyaca;Tunja;mujer;36.760456
2014;17;Caldas;Manizales;hombre;50.415745
2014;17;Caldas;Manizales;mujer;41.817551
2014;18;Caqueta;Florencia;hombre;48.985802
2014;18;Caqueta;Florencia;mujer;42.022636
2014;19;Cauca;Popayan;hombre;40.438892
2014;19;Cauca;Popayan;mujer;37.227989
2014;20;Cesar;Valledupar;hombre;50.616142
2014;20;Cesar;Valledupar;mujer;40.683823
2014;23;Cordoba;Monteria;hombre;41.358631
2014;23;Cordoba;Monteria;mujer;32.593803
2014;25;Cundinamarca;Cundinamarca;hombre;47.979412
2014;25;Cundinamarca;Cundinamarca;mujer;38.885742
2014;27;Choco;Quibdo;hombre;42.89743
2014;27;Choco;Quibdo;mujer;39.004395
2014;41;Huila;Neiva;hombre;46.820385
2014;41;Huila;Neiva;mujer;37.753536
2014;44;La Guajira;Riohacha;hombre;47.897255
2014;44;La Guajira;Riohacha;mujer;35.848476
2014;47;Magdalena;Santa Marta;hombre;50.166767
2014;47;Magdalena;Santa Marta;mujer;37.945385
2014;50;Meta;Villavicencio;hombre;52.804878
2014;50;Meta;Villavicencio;mujer;44.012314
2014;52;Nariño;Pasto;hombre;43.192078
2014;52;Nariño;Pasto;mujer;34.985386
2014;54;Norte de Santander;Cucuta;hombre;48.412411
2014;54;Norte de Santander;Cucuta;mujer;39.407375
2014;63;Quindio;Armenia;hombre;51.199211
2014;63;Quindio;Armenia;mujer;38.445957
2014;66;Risaralda;Pereira;hombre;51.235619
2014;66;Risaralda;Pereira;mujer;42.940422
2014;68;Santander;Bucaramanga;hombre;48.680611
2014;68;Santander;Bucaramanga;mujer;39.727009
2014;70;Sucre;Sincelejo;hombre;47.246109
2014;70;Sucre;Sincelejo;mujer;35.641399
2014;73;Tolima;Ibague;hombre;47.478024
2014;73;Tolima;Ibague;mujer;36.542149
2014;76;Valle del Cauca;Cali;hombre;49.294212
2014;76;Valle del Cauca;Cali;mujer;39.39724
2015;5;Antioquia;Medellin;hombre;48.955959
2015;5;Antioquia;Medellin;mujer;41.980228
2015;8;Atlantico;Barranquilla;hombre;51.053516
2015;8;Atlantico;Barranquilla;mujer;38.606518
2015;11;Bogota;Bogota;hombre;50.293163
2015;11;Bogota;Bogota;mujer;43.216667
2015;13;Bolivar;Cartagena;hombre;45.410191
2015;13;Bolivar;Cartagena;mujer;36.881779
2015;15;Boyaca;Tunja;hombre;45.444202
2015;15;Boyaca;Tunja;mujer;36.10479
2015;17;Caldas;Manizales;hombre;50.781418
2015;17;Caldas;Manizales;mujer;41.165756
2015;18;Caqueta;Florencia;hombre;48.883366
2015;18;Caqueta;Florencia;mujer;41.280537
2015;19;Cauca;Popayan;hombre;40.805996
2015;19;Cauca;Popayan;mujer;35.926613
2015;20;Cesar;Valledupar;hombre;50.629292
2015;20;Cesar;Valledupar;mujer;41.009323
2015;23;Cordoba;Monteria;hombre;41.676151
2015;23;Cordoba;Monteria;mujer;32.929317
2015;25;Cundinamarca;Cundinamarca;hombre;46.961506
2015;25;Cundinamarca;Cundinamarca;mujer;38.274895
2015;27;Choco;Quibdo;hombre;46.538841
2015;27;Choco;Quibdo;mujer;41.967308
2015;41;Huila;Neiva;hombre;46.174637
2015;41;Huila;Neiva;mujer;36.641666
2015;44;La Guajira;Riohacha;hombre;44.969673
2015;44;La Guajira;Riohacha;mujer;34.34877
2015;47;Magdalena;Santa Marta;hombre;49.479576
2015;47;Magdalena;Santa Marta;mujer;36.677151
2015;50;Meta;Villavicencio;hombre;52.78244
2015;50;Meta;Villavicencio;mujer;43.097977
