year;dpto;nom_dpto;nom_ciu;sexo;ingresototal;ingnotransitorio
2012;15;Boyaca;Tunja;hombre;863734.31;815567.81
2012;15;Boyaca;Tunja;mujer;642750.19;595946.63
2012;17;Caldas;Manizales;hombre;811614.13;763220.19
2012;17;Caldas;Manizales;mujer;720978.31;658406.06
2012;18;Caqueta;Florencia;hombre;893214.31;854613.88
2012;18;Caqueta;Florencia;mujer;731427.06;682859.88
2012;19;Cauca;Popayan;hombre;572769.75;551519.88
2012;19;Cauca;Popayan;mujer;538168.06;510153.59
2012;20;Cesar;Valledupar;hombre;803820.81;757841.06
2012;20;Cesar;Valledupar;mujer;558740;523003.81
2012;23;Cordoba;Monteria;hombre;571484;542719.69
2012;23;Cordoba;Monteria;mujer;453884;410084.84
2012;25;Cundinamarca;Cundinamarca;hombre;878636.38;797978.13
2012;25;Cundinamarca;Cundinamarca;mujer;604784.5;544190.56
2012;27;Choco;Quibdo;hombre;663377.25;648370.63
2012;27;Choco;Quibdo;mujer;628645.94;595928.5
2012;41;Huila;Neiva;hombre;800992.56;753401.69
2012;41;Huila;Neiva;mujer;596644.63;549633.31
2012;44;La Guajira;Riohacha;hombre;732283.81;687194.81
2012;44;La Guajira;Riohacha;mujer;577538.31;538637
2012;47;Magdalena;Santa Marta;hombre;688784;658532.75
2012;47;Magdalena;Santa Marta;mujer;517031.06;480197.66
2012;50;Meta;Villavicencio;hombre;1003241.6;927237.5
2012;50;Meta;Villavicencio;mujer;724294.44;668319.13
2012;52;Nariño;Pasto;hombre;538737.81;523390.34
2012;52;Nariño;Pasto;mujer;462550.25;433009.09
2012;54;Norte de Santander;Cucuta;hombre;775951.63;750487.69
2012;54;Norte de Santander;Cucuta;mujer;613595.06;566630.25
2012;63;Quindio;Armenia;hombre;785966.19;721494.81
2012;63;Quindio;Armenia;mujer;579403;530571.25
2012;66;Risaralda;Pereira;hombre;772563.13;738803.5
2012;66;Risaralda;Pereira;mujer;639945.38;594102.63
2012;68;Santander;Bucaramanga;hombre;1039879.4;979483.75
2012;68;Santander;Bucaramanga;mujer;802175.25;718188.25
2012;70;Sucre;Sincelejo;hombre;644414.88;611347.19
2012;70;Sucre;Sincelejo;mujer;462656.03;419495.63
2012;73;Tolima;Ibague;hombre;715060.75;659949.44
2012;73;Tolima;Ibague;mujer;508831.53;464424.97
2012;76;Valle del Cauca;Cali;hombre;889968.88;842025.25
2012;76;Valle del Cauca;Cali;mujer;634699.75;582174.38
2013;5;Antioquia;Medellin;hombre;1031757.3;940490.44
2013;5;Antioquia;Medellin;mujer;835660.5;744317.44
2013;8;Atlantico;Barranquilla;hombre;734413.44;726323.06
2013;8;Atlantico;Barranquilla;mujer;551326.94;526166.5
2013;11;Bogota;Bogota;hombre;1438655;1351294.6
2013;11;Bogota;Bogota;mujer;1124460.3;1035366.6
2013;13;Bolivar;Cartagena;hombre;686531.94;668406.94
2013;13;Bolivar;Cartagena;mujer;527392.81;504028.16
2013;15;Boyaca;Tunja;hombre;762254.06;716903.5
2013;15;Boyaca;Tunja;mujer;645711.5;589457.38
2013;17;Caldas;Manizales;hombre;853996.63;792754
2013;17;Caldas;Manizales;mujer;767098.81;699046.44
2013;18;Caqueta;Florencia;hombre;892766.75;854509.94
2013;18;Caqueta;Florencia;mujer;716377.69;666898.75
2013;19;Cauca;Popayan;hombre;584442.56;559709.13
2013;19;Cauca;Popayan;mujer;552528.81;523186.34
2013;20;Cesar;Valledupar;hombre;799072;765283.56
2013;20;Cesar;Valledupar;mujer;606660.31;565063
2013;23;Cordoba;Monteria;hombre;750951.81;714490.31
2013;23;Cordoba;Monteria;mujer;543162.88;490034.28
2013;25;Cundinamarca;Cundinamarca;hombre;999287.94;920589.63
2013;25;Cundinamarca;Cundinamarca;mujer;722041.88;650386
2013;27;Choco;Quibdo;hombre;661264.44;649315.56
2013;27;Choco;Quibdo;mujer;639815.88;614136.13
2013;41;Huila;Neiva;hombre;766456.63;721321.69
2013;41;Huila;Neiva;mujer;592502.63;543761.88
2013;44;La Guajira;Riohacha;hombre;775536.06;711628.25
2013;44;La Guajira;Riohacha;mujer;576635.5;536517.88
2013;47;Magdalena;Santa Marta;hombre;711756.13;680246.38
2013;47;Magdalena;Santa Marta;mujer;540713;499094.31
2013;50;Meta;Villavicencio;hombre;1002895.6;919574.75
2013;50;Meta;Villavicencio;mujer;730877.06;672076.31
2013;52;Nariño;Pasto;hombre;581864.81;557159.88
2013;52;Nariño;Pasto;mujer;489557.06;456985.03
2013;54;Norte de Santander;Cucuta;hombre;744583.44;718749.38
2013;54;Norte de Santander;Cucuta;mujer;622285.31;572188.69
2013;63;Quindio;Armenia;hombre;729917.13;662484.5
2013;63;Quindio;Armenia;mujer;588913.25;541379.44
2013;66;Risaralda;Pereira;hombre;808229.75;769976.06
2013;66;Risaralda;Pereira;mujer;666997.56;620011.5
2013;68;Santander;Bucaramanga;hombre;1043612;979552.81
2013;68;Santander;Bucaramanga;mujer;774191.56;712234.69
2013;70;Sucre;Sincelejo;hombre;685329.63;648331.88
