year;Mes;Tipo inactividad;Género;sexo;Total
2011;11;Estudiando ;1;hombre;2285
2011;11;Estudiando ;0;mujer;2302
2011;11;Oficios del Hogar ;1;hombre;353
2011;11;Oficios del Hogar ;0;mujer;5031
2011;11;Otros;1;hombre;1487
2011;11;Otros;0;mujer;1042
2011;12;Estudiando ;1;hombre;2331
2011;12;Estudiando ;0;mujer;2330
2011;12;Oficios del Hogar ;1;hombre;342
2011;12;Oficios del Hogar ;0;mujer;5022
2011;12;Otros;1;hombre;1523
2011;12;Otros;0;mujer;1105
2012;1;Estudiando ;1;hombre;2626
2012;1;Estudiando ;0;mujer;2583
2012;1;Oficios del Hogar ;1;hombre;299
2012;1;Oficios del Hogar ;0;mujer;4813
2012;1;Otros;1;hombre;1409
2012;1;Otros;0;mujer;1023
2012;2;Estudiando ;1;hombre;2715
2012;2;Estudiando ;0;mujer;2672
2012;2;Oficios del Hogar ;1;hombre;303
2012;2;Oficios del Hogar ;0;mujer;4670
2012;2;Otros;1;hombre;1330
2012;2;Otros;0;mujer;1013
2012;3;Estudiando ;1;hombre;2701
2012;3;Estudiando ;0;mujer;2621
2012;3;Oficios del Hogar ;1;hombre;283
2012;3;Oficios del Hogar ;0;mujer;4679
2012;3;Otros;1;hombre;1321
2012;3;Otros;0;mujer;1009
2012;4;Estudiando ;1;hombre;2636
2012;4;Estudiando ;0;mujer;2503
2012;4;Oficios del Hogar ;1;hombre;291
2012;4;Oficios del Hogar ;0;mujer;4642
2012;4;Otros;1;hombre;1371
2012;4;Otros;0;mujer;1049
2012;5;Estudiando ;1;hombre;2639
2012;5;Estudiando ;0;mujer;2489
2012;5;Oficios del Hogar ;1;hombre;259
2012;5;Oficios del Hogar ;0;mujer;4677
2012;5;Otros;1;hombre;1390
2012;5;Otros;0;mujer;1089
2012;6;Estudiando ;1;hombre;2392
2012;6;Estudiando ;0;mujer;2508
2012;6;Oficios del Hogar ;1;hombre;270
2012;6;Oficios del Hogar ;0;mujer;4744
2012;6;Otros;1;hombre;1364
2012;6;Otros;0;mujer;1100
2012;7;Estudiando ;1;hombre;2727
2012;7;Estudiando ;0;mujer;2615
2012;7;Oficios del Hogar ;1;hombre;271
2012;7;Oficios del Hogar ;0;mujer;4795
2012;7;Otros;1;hombre;1352
2012;7;Otros;0;mujer;1121
2012;8;Estudiando ;1;hombre;2640
2012;8;Estudiando ;0;mujer;2583
2012;8;Oficios del Hogar ;1;hombre;298
2012;8;Oficios del Hogar ;0;mujer;4730
2012;8;Otros;1;hombre;1335
2012;8;Otros;0;mujer;1123
2012;9;Estudiando ;1;hombre;2592
2012;9;Estudiando ;0;mujer;2615
2012;9;Oficios del Hogar ;1;hombre;322
2012;9;Oficios del Hogar ;0;mujer;4723
2012;9;Otros;1;hombre;1372
2012;9;Otros;0;mujer;1114
2012;10;Estudiando ;1;hombre;2392
2012;10;Estudiando ;0;mujer;2419
2012;10;Oficios del Hogar ;1;hombre;354
2012;10;Oficios del Hogar ;0;mujer;4847
2012;10;Otros;1;hombre;1474
2012;10;Otros;0;mujer;1148
2012;11;Estudiando ;1;hombre;2388
2012;11;Estudiando ;0;mujer;2340
2012;11;Oficios del Hogar ;1;hombre;352
2012;11;Oficios del Hogar ;0;mujer;5031
2012;11;Otros;1;hombre;1555
2012;11;Otros;0;mujer;1212
2012;12;Estudiando ;1;hombre;2430
2012;12;Estudiando ;0;mujer;2354
2012;12;Oficios del Hogar ;1;hombre;340
2012;12;Oficios del Hogar ;0;mujer;5076
2012;12;Otros;1;hombre;1563
2012;12;Otros;0;mujer;1204
2013;1;Estudiando ;1;hombre;2641
2013;1;Estudiando ;0;mujer;2535
