year;dpto;nom_dpto;nom_ciu;sexo;Carro;Moto;Bicicleta
2011;54;Norte de Santander;Cucuta;hombre;0.14639637;0.24013153;0.27711183
2011;54;Norte de Santander;Cucuta;mujer;0.1453812;0.22786541;0.27027848
2011;63;Quindio;Armenia;hombre;0.1142622;0.25426605;0.3843087
2011;63;Quindio;Armenia;mujer;0.10929542;0.22694699;0.35792938
2011;66;Risaralda;Pereira;hombre;0.1130828;0.24297541;0.28433859
2011;66;Risaralda;Pereira;mujer;0.10617902;0.21580997;0.27342626
2011;68;Santander;Bucaramanga;hombre;0.15656763;0.28252968;0.22604144
2011;68;Santander;Bucaramanga;mujer;0.14884733;0.25619498;0.22277839
2011;70;Sucre;Sincelejo;hombre;0.042677782;0.27191031;0.31342503
2011;70;Sucre;Sincelejo;mujer;0.045112722;0.25819406;0.29666659
2011;73;Tolima;Ibague;hombre;0.096723624;0.24396399;0.38420555
2011;73;Tolima;Ibague;mujer;0.090767115;0.22243075;0.37868595
2011;76;Valle del Cauca;Cali;hombre;0.12538414;0.27981353;0.51542974
2011;76;Valle del Cauca;Cali;mujer;0.12485791;0.25306702;0.48068613
2012;5;Antioquia;Medellin;hombre;0.12832779;0.25025088;0.33920369
2012;5;Antioquia;Medellin;mujer;0.12801369;0.21586376;0.31842396
2012;8;Atlantico;Barranquilla;hombre;0.09029597;0.13887894;0.26491946
2012;8;Atlantico;Barranquilla;mujer;0.096355259;0.12665465;0.25335875
2012;11;Bogota;Bogota;hombre;0.21035916;0.10101268;0.38979223
2012;11;Bogota;Bogota;mujer;0.20401716;0.085182972;0.36759666
2012;13;Bolivar;Cartagena;hombre;0.053011764;0.17014605;0.23735388
2012;13;Bolivar;Cartagena;mujer;0.056985646;0.15835497;0.23091845
2012;15;Boyaca;Tunja;hombre;0.15356241;0.11992184;0.29506731
2012;15;Boyaca;Tunja;mujer;0.14196305;0.10041026;0.25909868
2012;17;Caldas;Manizales;hombre;0.094490334;0.23660727;0.35229498
2012;17;Caldas;Manizales;mujer;0.090497419;0.21604621;0.32183355
2012;18;Caqueta;Florencia;hombre;0.067238934;0.29768214;0.16717309
2012;18;Caqueta;Florencia;mujer;0.054794166;0.28154126;0.16102229
2012;19;Cauca;Popayan;hombre;0.074833028;0.24781114;0.26866379
2012;19;Cauca;Popayan;mujer;0.063800633;0.21686745;0.25003427
2012;20;Cesar;Valledupar;hombre;0.095123217;0.29857063;0.41405064
2012;20;Cesar;Valledupar;mujer;0.090989396;0.29129198;0.38112307
2012;23;Cordoba;Monteria;hombre;0.062894091;0.29578117;0.48081118
2012;23;Cordoba;Monteria;mujer;0.067134336;0.29312012;0.46213737
2012;25;Cundinamarca;Cundinamarca;hombre;0.13596499;0.17863715;0.40956599
2012;25;Cundinamarca;Cundinamarca;mujer;0.13712446;0.16796492;0.40726307
2012;27;Choco;Quibdo;hombre;0.012361966;0.11609135;0.13513327
2012;27;Choco;Quibdo;mujer;0.010817502;0.11304558;0.13346182
2012;41;Huila;Neiva;hombre;0.11925057;0.42856815;0.32701075
2012;41;Huila;Neiva;mujer;0.11552818;0.40475202;0.31682184
2012;44;La Guajira;Riohacha;hombre;0.11542277;0.11796221;0.35847828
2012;44;La Guajira;Riohacha;mujer;0.10299978;0.10428693;0.31981817
2012;47;Magdalena;Santa Marta;hombre;0.055958834;0.24376234;0.38108426
2012;47;Magdalena;Santa Marta;mujer;0.058456842;0.21974619;0.36022687
2012;50;Meta;Villavicencio;hombre;0.13112077;0.39553192;0.42132756
2012;50;Meta;Villavicencio;mujer;0.12986197;0.37081686;0.40698218
2012;52;Nariño;Pasto;hombre;0.07311444;0.22140917;0.20714946
2012;52;Nariño;Pasto;mujer;0.068878636;0.19345155;0.19224249
2012;54;Norte de Santander;Cucuta;hombre;0.12822254;0.27093145;0.28430477
2012;54;Norte de Santander;Cucuta;mujer;0.12459168;0.24839938;0.26950228
2012;63;Quindio;Armenia;hombre;0.13591594;0.27393308;0.39433461
2012;63;Quindio;Armenia;mujer;0.12281428;0.24369204;0.37828004
2012;66;Risaralda;Pereira;hombre;0.11358915;0.25826147;0.29680467
2012;66;Risaralda;Pereira;mujer;0.1061414;0.23206064;0.28301165
2012;68;Santander;Bucaramanga;hombre;0.16693333;0.30269891;0.256964
2012;68;Santander;Bucaramanga;mujer;0.15927608;0.27384117;0.24025784
2012;70;Sucre;Sincelejo;hombre;0.03610824;0.28686103;0.28038764
2012;70;Sucre;Sincelejo;mujer;0.034159172;0.27002609;0.27501449
2012;73;Tolima;Ibague;hombre;0.1092327;0.27517796;0.3468464
2012;73;Tolima;Ibague;mujer;0.09743242;0.25213656;0.33212492
2012;76;Valle del Cauca;Cali;hombre;0.14700681;0.32444957;0.51050127
2012;76;Valle del Cauca;Cali;mujer;0.14371398;0.29012945;0.47990027
2013;5;Antioquia;Medellin;hombre;0.1302063;0.25735757;0.33591914
2013;5;Antioquia;Medellin;mujer;0.1281932;0.22794987;0.33350185
2013;8;Atlantico;Barranquilla;hombre;0.087191917;0.13938452;0.24110425
2013;8;Atlantico;Barranquilla;mujer;0.093018934;0.12342994;0.22038226
2013;11;Bogota;Bogota;hombre;0.23975125;0.11837327;0.41118363
2013;11;Bogota;Bogota;mujer;0.23638673;0.097822458;0.37888271
2013;13;Bolivar;Cartagena;hombre;0.059854362;0.18503666;0.24263018
2013;13;Bolivar;Cartagena;mujer;0.061182961;0.16497315;0.22210903
2013;15;Boyaca;Tunja;hombre;0.16923529;0.15391578;0.31199029
2013;15;Boyaca;Tunja;mujer;0.15659392;0.13945904;0.29471451
2013;17;Caldas;Manizales;hombre;0.11724323;0.26827437;0.31241837
2013;17;Caldas;Manizales;mujer;0.10654169;0.23414665;0.29196081
2013;18;Caqueta;Florencia;hombre;0.062796749;0.35180989;0.13437946
2013;18;Caqueta;Florencia;mujer;0.05739199;0.33915889;0.13554095
2013;19;Cauca;Popayan;hombre;0.06392654;0.25466809;0.25628579
2013;19;Cauca;Popayan;mujer;0.065989345;0.23725834;0.23256101
2013;20;Cesar;Valledupar;hombre;0.08865463;0.30868441;0.41030419
2013;20;Cesar;Valledupar;mujer;0.08748322;0.30657819;0.38792592
2013;23;Cordoba;Monteria;hombre;0.06151925;0.34104583;0.55252671
2013;23;Cordoba;Monteria;mujer;0.069212154;0.34044454;0.52739787
2013;25;Cundinamarca;Cundinamarca;hombre;0.16525628;0.19525845;0.41678312
2013;25;Cundinamarca;Cundinamarca;mujer;0.15067483;0.17786926;0.38847199
2013;27;Choco;Quibdo;hombre;0.022590796;0.11977233;0.13810989
2013;27;Choco;Quibdo;mujer;0.018973747;0.11143842;0.13321011
2013;41;Huila;Neiva;hombre;0.10908289;0.43922734;0.29534161
2013;41;Huila;Neiva;mujer;0.1053694;0.41627559;0.29835886
2013;44;La Guajira;Riohacha;hombre;0.078342274;0.12575632;0.31087509
2013;44;La Guajira;Riohacha;mujer;0.077271596;0.1146182;0.29213011
2013;47;Magdalena;Santa Marta;hombre;0.046875808;0.24503842;0.36211839
2013;47;Magdalena;Santa Marta;mujer;0.048291478;0.22674133;0.34897608
2013;50;Meta;Villavicencio;hombre;0.13913605;0.44656441;0.41432664
2013;50;Meta;Villavicencio;mujer;0.13499019;0.41479266;0.4063985
2013;52;Nariño;Pasto;hombre;0.074754521;0.25242957;0.22827137
2013;52;Nariño;Pasto;mujer;0.070732228;0.21709341;0.20973353
2013;54;Norte de Santander;Cucuta;hombre;0.12443695;0.32090166;0.26528814
2013;54;Norte de Santander;Cucuta;mujer;0.11979972;0.289031;0.25222227
2013;63;Quindio;Armenia;hombre;0.10832202;0.30945098;0.37488443
2013;63;Quindio;Armenia;mujer;0.11151834;0.26995692;0.35512489
2013;66;Risaralda;Pereira;hombre;0.11712588;0.30486837;0.32697707
2013;66;Risaralda;Pereira;mujer;0.11492451;0.27252313;0.31297854
2013;68;Santander;Bucaramanga;hombre;0.15896192;0.31499302;0.25205293
2013;68;Santander;Bucaramanga;mujer;0.15223552;0.2867516;0.24097314
2013;70;Sucre;Sincelejo;hombre;0.034315228;0.30553693;0.28712121
2013;70;Sucre;Sincelejo;mujer;0.038620796;0.29964295;0.26738331
2013;73;Tolima;Ibague;hombre;0.11136033;0.27613804;0.39578071
2013;73;Tolima;Ibague;mujer;0.10047933;0.26246548;0.37531829
2013;76;Valle del Cauca;Cali;hombre;0.15228249;0.34900573;0.51164734
2013;76;Valle del Cauca;Cali;mujer;0.14406902;0.30399334;0.47025937
2014;5;Antioquia;Medellin;hombre;0.14536513;0.25986704;0.32196227
2014;5;Antioquia;Medellin;mujer;0.14393248;0.22196931;0.30447122
2014;8;Atlantico;Barranquilla;hombre;0.092596546;0.15775491;0.24353907
2014;8;Atlantico;Barranquilla;mujer;0.09703175;0.14748532;0.22381942
2014;11;Bogota;Bogota;hombre;0.2296104;0.12931375;0.40576604
2014;11;Bogota;Bogota;mujer;0.22176047;0.1060736;0.37320799
2014;13;Bolivar;Cartagena;hombre;0.067428432;0.19377095;0.22752766
2014;13;Bolivar;Cartagena;mujer;0.077124357;0.18401721;0.22305691
2014;15;Boyaca;Tunja;hombre;0.18794842;0.18793978;0.31355456
2014;15;Boyaca;Tunja;mujer;0.17022951;0.16075718;0.29382852
2014;17;Caldas;Manizales;hombre;0.10935119;0.26664984;0.31234881
2014;17;Caldas;Manizales;mujer;0.10056898;0.24443689;0.29327163
2014;18;Caqueta;Florencia;hombre;0.064819969;0.40389007;0.15401421
2014;18;Caqueta;Florencia;mujer;0.058409326;0.37972435;0.15747865
2014;19;Cauca;Popayan;hombre;0.068033896;0.2853936;0.22730429
2014;19;Cauca;Popayan;mujer;0.069425225;0.25580746;0.21948956
2014;20;Cesar;Valledupar;hombre;0.10790991;0.36004487;0.42632824
2014;20;Cesar;Valledupar;mujer;0.10972302;0.35026938;0.40759647
2014;23;Cordoba;Monteria;hombre;0.057557892;0.38510832;0.62894112
2014;23;Cordoba;Monteria;mujer;0.065230921;0.38197097;0.59570712
2014;25;Cundinamarca;Cundinamarca;hombre;0.16468941;0.23219405;0.43445751
2014;25;Cundinamarca;Cundinamarca;mujer;0.16088864;0.20616613;0.41088232
2014;27;Choco;Quibdo;hombre;0.014528281;0.13156864;0.11499174
2014;27;Choco;Quibdo;mujer;0.010770825;0.12393971;0.11667731
2014;41;Huila;Neiva;hombre;0.11755304;0.46507365;0.28601655
2014;41;Huila;Neiva;mujer;0.12170454;0.43691635;0.27379045
2014;44;La Guajira;Riohacha;hombre;0.080959409;0.1513091;0.32400563
2014;44;La Guajira;Riohacha;mujer;0.089206584;0.1341657;0.30412742
2014;47;Magdalena;Santa Marta;hombre;0.049468946;0.26430625;0.3453936
2014;47;Magdalena;Santa Marta;mujer;0.050963651;0.24089563;0.33109951
2014;50;Meta;Villavicencio;hombre;0.14171165;0.47599488;0.42793238
2014;50;Meta;Villavicencio;mujer;0.14407408;0.44993949;0.40692174
2014;52;Nariño;Pasto;hombre;0.085503913;0.28236037;0.22213894
2014;52;Nariño;Pasto;mujer;0.081065677;0.24573691;0.20257194
2014;54;Norte de Santander;Cucuta;hombre;0.12761487;0.37291798;0.25325915
2014;54;Norte de Santander;Cucuta;mujer;0.12915586;0.3319819;0.23518752
2014;63;Quindio;Armenia;hombre;0.131844;0.33998549;0.38042292
2014;63;Quindio;Armenia;mujer;0.12451008;0.30857155;0.34576255
2014;66;Risaralda;Pereira;hombre;0.1355204;0.3231622;0.33452731
2014;66;Risaralda;Pereira;mujer;0.12786329;0.28742394;0.31049964
2014;68;Santander;Bucaramanga;hombre;0.18295699;0.34778637;0.24695162
2014;68;Santander;Bucaramanga;mujer;0.17254041;0.31591627;0.23332959
2014;70;Sucre;Sincelejo;hombre;0.039156586;0.35580787;0.29343587
2014;70;Sucre;Sincelejo;mujer;0.045184579;0.33308563;0.27847192
2014;73;Tolima;Ibague;hombre;0.12265033;0.34741762;0.39602199
2014;73;Tolima;Ibague;mujer;0.11883736;0.32018629;0.38876289
2014;76;Valle del Cauca;Cali;hombre;0.14787456;0.35857782;0.49081537
2014;76;Valle del Cauca;Cali;mujer;0.14699554;0.32363126;0.45778355
2015;5;Antioquia;Medellin;hombre;0.14283434;0.27896097;0.30744538
2015;5;Antioquia;Medellin;mujer;0.14124815;0.24270037;0.29111025
2015;8;Atlantico;Barranquilla;hombre;0.10730068;0.18903179;0.29899153
2015;8;Atlantico;Barranquilla;mujer;0.11069632;0.18243147;0.29118603
2015;11;Bogota;Bogota;hombre;0.23610619;0.14558217;0.42450571
2015;11;Bogota;Bogota;mujer;0.22227412;0.12100755;0.39356181
2015;13;Bolivar;Cartagena;hombre;0.068737924;0.24517007;0.2024453
2015;13;Bolivar;Cartagena;mujer;0.074839614;0.23554173;0.18922645
2015;15;Boyaca;Tunja;hombre;0.21919079;0.20922373;0.32887962
2015;15;Boyaca;Tunja;mujer;0.20440517;0.18098617;0.30559024
2015;17;Caldas;Manizales;hombre;0.12363794;0.3204419;0.32291958
